codi,nom,tipus,emplacament,altitud,estats,coordenades.latitud,coordenades.longitud,municipi.codi,municipi.nom,comarca.codi,comarca.nom,provincia.codi,provincia.nom,xarxa.codi,xarxa.nom
UJ,Santa Coloma de Queralt,A,Partida la Cabana,709.0,"[{'codi': 2, 'dataInici': '1996-11-19T20:00Z', 'dataFi': None}]",41.52879,1.3683,431397,Santa Coloma de Queralt,16,Conca de Barberà,43,Tarragona,1,XEMA
UK,Sant Pere de Ribes - PN del Garraf,A,Granja escola Can Pere,161.0,"[{'codi': 2, 'dataInici': '1999-05-11T14:00Z', 'dataFi': None}]",41.27861,1.80479,082310,Sant Pere de Ribes,17,Garraf,8,Barcelona,1,XEMA
UL,Castelldans,A,"Mas de St. Jaume, crta. de Castelldans a Puigvert",228.0,"[{'codi': 2, 'dataInici': '1997-09-16T00:00Z', 'dataFi': '2017-02-21T11:30Z'}, {'codi': 1, 'dataInici': '2017-02-21T11:30Z', 'dataFi': None}]",41.52911,0.75303,250674,Castelldans,18,Garrigues,25,Lleida,1,XEMA
UM,la Granadella,A,Horts de la Vall Major,505.0,"[{'codi': 2, 'dataInici': '1992-01-30T13:00Z', 'dataFi': None}]",41.35991,0.66789,251018,La Granadella,18,Garrigues,25,Lleida,1,XEMA
UN,Cassà de la Selva,A,Finca Mas Bassets,171.0,"[{'codi': 2, 'dataInici': '1993-03-08T12:00Z', 'dataFi': None}]",41.87449,2.92694,170448,Cassà de la Selva,20,Gironès,17,Girona,1,XEMA
UO,Fornells de la Selva,A,La Torre de Reset,97.0,"[{'codi': 2, 'dataInici': '1998-11-10T14:00Z', 'dataFi': None}]",41.91461,2.82069,170736,Fornells de la Selva,20,Gironès,17,Girona,1,XEMA
UP,Cabrils,A,"IRTA Cabrils, crta. de Vilassar a Cabrils, s/n",81.0,"[{'codi': 2, 'dataInici': '1995-11-27T14:00Z', 'dataFi': None}]",41.51773,2.37702,080305,Cabrils,21,Maresme,8,Barcelona,1,XEMA
UQ,Dosrius - PN Montnegre Corredor,A,Parc Natural del Corredor. Masia Can Bosc,460.0,"[{'codi': 2, 'dataInici': '1996-08-09T11:00Z', 'dataFi': None}]",41.61991,2.44532,080752,Dosrius,21,Maresme,8,Barcelona,1,XEMA
UR,Malgrat de Mar - Cooperativa,A,"Cooperativa Garbí, camí del Pla, s/n. Apt. correus 80",2.0,"[{'codi': 2, 'dataInici': '1990-01-09T23:00Z', 'dataFi': '2005-05-04T10:30Z'}, {'codi': 1, 'dataInici': '2005-05-04T10:30Z', 'dataFi': None}]",41.64908,2.75209,081108,Malgrat de Mar,21,Maresme,8,Barcelona,1,XEMA
US,Alcanar,A,El Mas d'en Serra - Barranc de St. Jaume,24.0,"[{'codi': 2, 'dataInici': '1991-05-06T15:00Z', 'dataFi': None}]",40.55786,0.52329,430043,Alcanar,22,Montsià,43,Tarragona,1,XEMA
